id	text	label
0	I sighed and deleted the message, imagining the dirty clothes multiplying like rabbits, because that’s what they do when I’m not around.	sarcasm
1	"At this point we can finally see what's really at stake in our peculiar habit of defining ourselves simultaneously as master and slave, reduplicating the most brutal aspects of the ancient household in our very concept of ourselves, as masters of our freedoms, or as owners of our very selves. It is the only way that we can imagine ourselves as completely isolated beings. There is a direct line from the new Roman conception of liberty – not as the ability to form mutual relationships with others, but as the kind of absolute power of ""use and abuse"" over the conquered chattel who make up the bulk of a wealthy Roman man's household – to the strange fantasies of liberal philosophers like Hobbes, Locke, and Smith, about the origins of human society in some collection of thirty- or forty-year-old males who seem to have sprung from the earth fully formed, then have to decide whether to kill each other or begin to swap beaver pelts."	philosophy
2	Your educators can only be your liberators.	philosophy
3	A prison becomes a home when you have the key.	philosophy
4	"The safest general characterization of the European philosophical tradition is that it consists of a series of footnotes to <a href=""https://www.goodreads.com/author/show/879.Plato"" title=""Plato"">Plato</a>."	philosophy
5	The moment we cry in a film is not when things are sad but when they turn out to be more beautiful than we expected them to be.	philosophy
6	Here is your great soul—the man who has given himself over to Fate; on the other hand, that man is a weakling and a degenerate who struggles and maligns the order of the universe and would rather reform the gods than reform himself.	philosophy
7	Forgive yourself and you will be happy. Forgive everything and you will be happiest.	philosophy
8	"An intellectual? Yes. And never deny it. An intellectual is someone whose mind watches itself. I like this, because I am happy to be both halves, the watcher and the watched. ""Can they be brought together?"" This is a practical question. We must get down to it. ""I despise intelligence"" really means: ""I cannot bear my doubts."	philosophy
9	Will suspected Jem was in fact cleverer than he was himself - but he lacked Will's tendency to assume the absolute worst about people and proceed from there.	sarcasm
10	[O]ther thinkers have philosophised since the time of Plato, but that does not destroy the interest and beauty of his philosophy	philosophy
11	Nothing more than action speaks for love and passion.	philosophy
12	"What about you, Snipes?"" Dunbar asked. ""You think there to be mountain lions up here or is it just folks' imaginings?""  Snipes pondered the question a few moments before speaking.  They's many a man of science would claim there aint because you got no irredeemable evidence like panther scat or fur or tooth or tail. In other words, some part of the animal in questions. Or better yet having the actual critter itself, the whole think kit and caboodle head to tail, which all your men of science argue is the best proof of all a thing exists, whether it be a panther, or a bird, or even a dinosaur.""  To put it another way, if you was to stub your toe and tell the man of science what happened he'd not believe a word of it less he could see how it'd stoved up or was bleeding. But your philosophers and theologians and such say there’s things in the world that’s every bit as real even though you can’t see them.”  Like what?” Dunbar asked.  Well,” Snipes said. “They’s love, that’s one. And courage. You can’t see neither of them, but they’re real. And air, of course. That’s one of your most important examples. You wouldn’t be alive a minute if there wasn’t air, but nobody’s ever seen a single speck of it.”  … “All I’m saying is there is a lot more to this old world than meets the eye.”  … “And darkness. You can’t see it no more than you can see air, but when its all around you sure enough know it.” (Serena, 65-66)"	philosophy
13	As individuals express their life, so they are.	philosophy
14	The progress of the world can certainly never come at all save by the modified action of the individual beings who compose the world.	philosophy
15	Therefore we will not listen to the source itself in order to learn what it is or what it means, but rather to the turns of speech, the allegories, figures, metaphors, as you will, into which the source has deviated, in order to lose it or rediscover it—which always amounts to the same.	philosophy
16	There lies before us, if we choose, continual progress in happiness, knowledge and wisdom. Shall we instead choose death, because we cannot forget our quarrels? I appeal as a human being to human beings; remember your humanity, and forget the rest.	philosophy
17	What do you do when you’re in a room of vampires and the most dangerous one tells you that you know too much? You bolt. What did I do? I hyperventilated.	sarcasm
18	This city belongs to ghosts, to murderers, to sleepwalkers. Where are you, in what bed, in what dream?	philosophy
19	Were we incapable of empathy – of putting ourselves in the position of others and seeing that their suffering is like our own – then ethical reasoning would lead nowhere. If emotion without reason is blind, then reason without emotion is impotent.	philosophy
20	Do you want to achieve something or do you just want to make money?” asked a nearby man in a white shirt to another man in a striped shirt. I waited for the answer as I slowly walked past them.  “Why is it an either or question?” the man in the striped shirt finally murmured philosophically under a sip of beer. They both stood there looking at each other in thought.	philosophy
21	Being skilled in Catsism is like being a ninja only deadlier and not so silent. The only bad thing is the sickening grammar you have to use.	sarcasm
22	If there were a party of those who aren't sure they're right, I'd belong to it.  ~<em>(Camus, as quoted by Tony Judt)</em>	philosophy
23	You were free, you are free and you will be free.	philosophy
24	All right,” she said a little sarcastically. “I was going to assume you liked eating babies and sacrificing virgins, but I might as well ask, what do you do for fun?”  “I languish in sin,” I replied in the same tone. “I take my babies rare, and my virgins over easy.	sarcasm
25	"You like? she asked Slade. He gave her a head nod and she vanished behind the curtain. That's my sister, he said, pointing at the closed curtain. I shrugged. ""I'm glad you guys are so close."	sarcasm
26	If you're going to kick authority in the teeth, you might as well use two feet.	philosophy
